Contestant,iso,Total score,Jury score,Televoting score,Austria,Iceland,Azerbaijan,San Marino,Czech Republic,Ireland,Georgia,Bosnia and Herzegovina,Malta,Spain,Finland,Switzerland,Denmark,France,Moldova,Armenia,Cyprus,Bulgaria,Netherlands,Latvia,Israel,Belarus,Germany,Russia,Norway,Australia,Belgium,United Kingdom,Croatia,Greece,Lithuania,Serbia,Macedonia,Albania,Estonia,Ukraine,Italy,Poland,Slovenia,Hungary,Montenegro,Sweden
Belgium,BEL,181,130,51,,3,,,,,,,,,,,8,4,,,,,12,,1,,,,2,12,,,,,,5,4,,,,,,,,,
Czech Republic,CZE,41,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,NLD,153,114,39,6,6,,,,,,,3,,,,7,,,,,,,,,,3,,,,10,,,,,,,,,,,,,2,,2
Azerbaijan,AZE,117,44,73,,1,,,6,,7,8,6,,,,,,8,,,1,,3,2,8,,6,,,,,,,,,,,,10,,,,,7,
Hungary,HUN,108,52,56,,,7,1,3,,2,1,5,,,,,,,3,4,,,,,3,,,,,,,3,2,2,10,,1,,,,6,,,3,
Italy,ITA,124,90,34,,,,,,,,,7,3,,7,,,,,,,,,,,1,,,,,,,,,,1,10,,,,,1,,4,
Israel,ISR,135,124,11,,,6,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,307,127,180,5,,8,3,5,5,3,2,8,12,4,,,5,2,,12,,1,1,7,4,4,,5,10,5,8,1,7,,8,10,8,,2,7,3,2,4,5,4
Sweden,SWE,261,122,139,7,12,,4,2,2,,,,1,10,,12,2,,2,1,3,2,7,,2,8,2,7,,1,1,7,,7,1,,3,10,1,,10,5,7,,
Germany,DEU,11,1,10,2,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,FRA,257,148,109,1,5,4,,,,,4,2,10,3,3,2,,6,7,6,,4,,12,,,3,1,7,8,,2,4,3,,,,2,,5,,,1,1,3
Poland,POL,229,7,222,12,10,3,7,7,10,4,,,5,5,5,5,7,,1,2,6,10,5,4,6,10,5,10,,12,10,4,3,6,,2,5,1,8,10,,4,8,,10
Australia,AUS,511,320,191,3,8,2,5,1,6,1,3,12,4,7,1,10,,5,,5,5,5,6,5,1,5,4,8,,4,6,5,5,5,6,3,12,4,4,,7,3,3,,12
Cyprus,CYP,96,43,53,,,,,,,,,,,1,,,,,6,,7,,,,,,7,,,,2,,12,,3,,,3,,6,1,,5,,
Serbia,SRB,115,35,80,4,,,,,,,12,,,,12,,,,,,,,,,,,,,,,,12,,,,12,,,,4,,12,,12,
Lithuania,LTU,200,104,96,,4,,8,,12,5,,,,,,6,,3,,3,,,8,,,,,12,1,,12,,,,,,4,5,3,2,,,,2,6
Croatia,HRV,73,40,33,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,8,,6,
Russia,RUS,491,130,361,8,7,12,10,10,8,8,6,10,8,8,6,4,6,12,12,10,12,3,12,10,12,12,,6,5,6,7,8,10,8,12,8,7,12,12,8,8,10,10,10,8
Spain,ESP,77,67,10,,,,,,,,,,,,2,,1,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,1
Latvia,LVA,132,69,63,,,,6,,7,6,,,,2,,,,1,,,,,,,5,,1,3,,,3,,,12,,,,7,5,,5,,,,
Ukraine,UKR,534,211,323,10,,10,12,12,4,10,7,4,7,12,4,3,10,10,10,7,10,7,10,8,10,6,10,4,8,2,5,10,6,10,7,6,6,8,,12,12,7,12,8,7
Malta,MLT,153,137,16,,,5,,,,,,,,,,,,,5,,,,,,,,,,6,,,,,,,,,,,,,,,,
Georgia,GEO,104,80,24,,,1,,,,,,,,,,,,,8,,,,2,,,,,,,,,,,4,,,,,6,3,,,,,
Austria,AUT,151,31,120,,2,,,4,1,,5,,2,6,10,1,8,4,4,,4,6,4,3,,7,8,,3,3,,6,1,1,,,,6,,,4,6,6,,5
United Kingdom,GBR,62,54,8,,,,,,3,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Armenia,ARM,249,115,134,,,,2,8,,12,,,6,,,,12,7,,8,8,8,,6,7,2,12,,,7,,,8,,2,7,2,,7,1,2,,,,
